transaction_id,client_id,asset_ticker,operation,quantity,unit_price,transaction_date
T001,C1,PETR4,BUY,100,32.50,2024-01-05
T002,C1,VALE3,BUY,50,68.00,2024-01-08
T003,C2,PETR4,BUY,200,33.10,2024-01-10
T004,C3,ITUB4,BUY,150,27.80,2024-01-12
T005,C4,BBDC4,BUY,300,14.20,2024-01-15
T006,C5,MGLU3,BUY,1000,2.60,2024-01-18
T007,C6,VALE3,BUY,80,67.50,2024-01-20
T008,C7,PETR4,BUY,250,32.90,2024-01-22
T009,C8,ITUB4,BUY,100,28.10,2024-01-25
T010,C9,WEGE3,BUY,60,35.40,2024-01-28
T011,C1,PETR4,SELL,40,35.00,2024-02-02
T012,C2,VALE3,BUY,100,70.20,2024-02-05
T013,C3,MGLU3,BUY,500,2.80,2024-02-07
T014,C4,WEGE3,BUY,120,36.00,2024-02-10
T015,C5,PETR4,BUY,200,33.50,2024-02-12
T016,C6,ITUB4,SELL,50,28.90,2024-02-14
T017,C7,BBDC4,BUY,400,14.50,2024-02-16
T018,C8,VALE3,SELL,30,71.00,2024-02-18
T019,C9,PETR4,BUY,180,34.10,2024-02-20
T020,C10,MGLU3,BUY,800,2.75,2024-02-22
T021,,MGLU3,BUY,100,2.90,2024-02-24
T022,C1,VALE3,SELL,20,72.00,2024-03-01
T023,C2,PETR4,BUY,80,34.50,2024-03-03
T024,C3,ITUB4,SELL,60,29.20,2024-03-05
T025,C4,BBDC4,SELL,100,15.10,2024-03-07
T026,C5,WEGE3,BUY,90,37.20,2024-03-09
T027,C6,VALE3,BUY,110,72.50,2024-03-11
T028,C7,PETR4,SELL,80,35.80,2024-03-13
T029,C8,MGLU3,BUY,600,2.95,2024-03-15
T030,C9,ITUB4,BUY,200,29.50,2024-03-17
T031,C10,BBDC4,BUY,250,15.30,2024-03-19
T032,C1,PETR4,BUY,60,34.50,2024-03-21
T033,C2,VALE3,SELL,200,69.00,2024-03-23
T034,C3,MGLU3,SELL,50,3.10,2024-03-25
T035,C4,ITUB4,BUY,120,28.50,2024-03-27
T036,C4,ITUB4,BUY,120,28.50,2024-03-27
T037,C5,PETR4,BUY,-50,34.00,2024-03-29
T038,C6,WEGE3,SELL,40,38.10,2024-03-31
T039,C7,VALE3,BUY,70,73.40,2024-04-02
T040,C8,BBDC4,BUY,300,15.50,2024-04-04
T041,C9,PETR4,SELL,90,36.20,2024-04-06
T042,C10,MGLU3,SELL,200,3.20,2024-04-08
T043,C1,WEGE3,BUY,50,38.50,2024-04-10
T044,C2,ITUB4,BUY,160,29.80,2024-04-12
T045,C3,BBDC4,BUY,180,15.70,2024-04-14
T046,C4,VALE3,SELL,60,74.00,2024-04-16
T047,C5,PETR4,BUY,220,35.50,2024-04-18
T048,C6,MGLU3,BUY,400,3.05,2024-04-20
T049,C7,ITUB4,SELL,80,30.10,2024-04-22
T050,C8,WEGE3,BUY,110,39.20,2024-04-24
T051,C9,VALE3,BUY,90,74.80,2024-05-02
T052,C10,PETR4,BUY,130,36.10,2024-05-04
T053,C1,BBDC4,SELL,50,16.00,2024-05-06
T054,C2,MGLU3,BUY,700,3.15,2024-05-08
T055,C3,WEGE3,SELL,30,39.80,2024-05-10
T056,C4,PETR4,BUY,170,36.50,2024-05-12
T057,C5,ITUB4,BUY,140,30.40,2024-05-14
T058,C6,VALE3,SELL,40,75.20,2024-05-16
T059,C7,BBDC4,BUY,220,16.10,2024-05-18
T060,C8,MGLU3,SELL,150,3.20,2024-05-20
T061,C9,PETR4,BUY,100,37.00,2024-05-22
T062,C10,WEGE3,BUY,80,40.10,2024-05-24
T063,C1,VALE3,BUY,60,75.50,2024-05-26
T064,C2,ITUB4,SELL,70,30.80,2024-05-28
T065,C3,PETR4,SELL,100,37.40,2024-05-30
T066,C4,BBDC4,BUY,190,16.30,2024-06-03
T067,C5,VALE3,BUY,150,76.00,2024-06-05
T068,C6,MGLU3,BUY,500,3.30,2024-06-07
T069,C7,WEGE3,SELL,60,40.50,2024-06-09
T070,C8,PETR4,BUY,200,37.80,2024-06-11
T071,C9,ITUB4,BUY,110,31.20,2024-06-13
T072,C10,BBDC4,SELL,80,16.50,2024-06-15
T073,C1,MGLU3,BUY,300,3.40,2024-06-17
T074,C2,PETR4,BUY,140,38.20,2024-06-19
T075,C3,VALE3,BUY,100,76.50,2024-06-21
T076,C4,WEGE3,BUY,70,41.00,2024-06-23
T077,C5,ITUB4,SELL,90,31.50,2024-06-25
T078,C6,BBDC4,BUY,260,16.70,2024-06-27
T079,C7,VALE3,SELL,50,77.00,2024-06-29
T080,C8,PETR4,SELL,110,38.60,2024-07-01
T081,C9,MGLU3,BUY,400,3.50,2024-07-03
T082,C10,WEGE3,SELL,40,41.40,2024-07-05
T083,C1,ITUB4,BUY,130,31.80,2024-07-07
T084,C2,BBDC4,BUY,200,16.90,2024-07-09
T085,C3,PETR4,BUY,160,39.00,2024-07-11
T086,C4,VALE3,BUY,90,77.50,2024-07-13
T087,C5,MGLU3,SELL,300,3.55,2024-07-15
T088,C6,WEGE3,BUY,80,42.00,2024-07-17
T089,C7,ITUB4,BUY,150,32.10,2024-07-19
T090,C8,BBDC4,SELL,120,17.10,2024-07-21
T091,C9,VALE3,BUY,70,78.00,2024-07-23
T092,C10,PETR4,SELL,60,39.50,2024-07-25
T093,C5,BBDC4,BUY,200,14.90,2024-07-27
T094,C5,BBDC4,SELL,600,15.20,2024-07-29
T095,C1,WEGE3,SELL,20,42.30,2024-07-31
T096,C2,VALE3,BUY,120,78.50,2024-08-02
T097,C3,ITUB4,BUY,180,32.40,2024-08-04
T098,C4,MGLU3,BUY,350,3.60,2024-08-06
T099,C6,PETR4,BUY,190,40.00,2024-08-08
T100,C7,BBDC4,BUY,230,17.30,2024-08-10